horizon,model,MAE,RMSE,R2
H+1,Hybrid SARIMAX-LightGBM,20633.63127506188,31678.081007440494,0.9954528692983149
H+1,Hybrid SARIMAX-XGBoost,17757.070510487654,29339.55505912855,0.9960994418723912
H+1,SARIMAX,16508.61193843508,28500.50815734489,0.9963193466701072
H+2,Hybrid SARIMAX-LightGBM,31746.246352381502,43712.52506099728,0.9913209803653608
H+2,Hybrid SARIMAX-XGBoost,26563.98916781697,38990.23543230782,0.9930948900631846
H+2,SARIMAX,22980.361560347148,36288.844135440006,0.994018568231607
H+3,Hybrid SARIMAX-LightGBM,42309.458383879086,54113.997885853285,0.9866669198316159
H+3,Hybrid SARIMAX-XGBoost,32711.411604358927,44452.11010626136,0.991003035381954
H+3,SARIMAX,27962.69446507852,40537.81755884851,0.9925177540933026
H+4,Hybrid SARIMAX-LightGBM,46775.51807003103,59410.51948772866,0.9838871424401231
H+4,Hybrid SARIMAX-XGBoost,39539.24402966583,52255.82124428723,0.9875343415608145
H+4,SARIMAX,33223.516725993875,46164.79860413922,0.9902710099626356
H+5,Hybrid SARIMAX-LightGBM,55095.36450456069,69291.80742235226,0.9780234910291609
H+5,Hybrid SARIMAX-XGBoost,44472.74958653642,58017.086623408744,0.9845934017311365
H+5,SARIMAX,37435.7339327063,51133.013248702424,0.988032658125053
H+6,Hybrid SARIMAX-LightGBM,57759.70576638091,72232.65484696433,0.976054396482317
H+6,Hybrid SARIMAX-XGBoost,53474.71475446483,67838.27346169882,0.9788793049866464
H+6,SARIMAX,41402.32028986356,55384.161060338396,0.9859223619153956
H+7,Hybrid SARIMAX-LightGBM,70891.47594259425,88067.19305200542,0.9643120040996132
H+7,Hybrid SARIMAX-XGBoost,61461.82849511006,77214.53593740189,0.9725658200557761
H+7,SARIMAX,44905.97879470163,60500.22857020978,0.9831574485604428
